"Type de commission","Date","Heure","À l'initiative de","Ordre(s) du jour"
"CNPS","2026-09-22","09:00","Commission spéciale chargée d'examiner la proposition de loi apportant une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants et la proposition de loi organique visant à adapter l'autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales","Suite de l’examen de la proposition de loi visant à apporter une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants (n° 3106) (Mme Céline Thiébault-Martinez, rapporteure générale ; Mmes Céline Thiébault Martinez, Marie-Charlotte Garin, Isabelle Rauch, Émilie Bonnivard, Soumya Bourouaha, rapporteures, MM. David Taupiac, Erwan Balanant, Guillaume Gouffier Valente, Karim Benbrahim, rapporteurs) et de la proposition de loi organique visant à adapter l’autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales (n° 3107) (Mme Céline Thiébault-Martinez, rapporteure)."
"CNPS","2026-09-22","21:30","Commission spéciale chargée d'examiner la proposition de loi apportant une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants et la proposition de loi organique visant à adapter l'autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales","Suite de l’ordre du jour de l’après-midi."
"CNPS","2026-09-24","09:00","Commission spéciale chargée d'examiner la proposition de loi apportant une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants et la proposition de loi organique visant à adapter l'autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales","Suite de l’examen de la proposition de loi visant à apporter une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants (n° 3106) (Mme Céline Thiébault-Martinez, rapporteure)."
"MISFLASH","2026-09-22","14:30","Mission flash sur l'impact environnemental des aliments ultra-transformés","Audition commune sur les questions de transparence, avec la participation de  :- Yuka :Mme Gabriela Mourad Vicenssuto, ingénieure nutrition - Association Open Food Facts :M. Pierre Slamich, co-fondateur- Collectif en vérité :M. David Garbous, présidentMme Juliette Decaudin, déléguée générale"
"MISINFO","2026-09-24","09:00","Mission d'information sur l'ouverture de la voie du Nord et les enjeux de défense","audition de M. David Renault, directeur de l’Institut polaire Paul Emile Victor."
"CNPS","2026-09-23","15:00","Commission spéciale chargée d'examiner la proposition de loi apportant une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants et la proposition de loi organique visant à adapter l'autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales","Suite de l’ordre du jour du matin."
"CNPS","2026-09-24","21:30","Commission spéciale chargée d'examiner la proposition de loi apportant une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants et la proposition de loi organique visant à adapter l'autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales","Suite de l’ordre du jour de l’après-midi."
"COMPER","2026-09-23","09:30","Commission des affaires économiques","suite de l’examen du projet de loi, adopté par le Sénat, visant la relance et la décentralisation du logement (n° 3058) (Mme Annaïg Le Meur, rapporteure)."
"COMPER","2026-09-24","21:30","Commission des affaires économiques","éventuellement, suite de l’examen du projet de loi, adopté par le Sénat, visant la relance et la décentralisation du logement (n° 3058) (Mme Annaïg Le Meur, rapporteure)."
"COMPER","2026-10-01","14:00","Commission de la défense nationale et des forces armées","discussion générale puis examen, ouvert à la presse, de la proposition de loi pour étendre le statut et les conditions d’attribution de la mention « Mort pour le service de la Nation » (n° 1553)."
"API","2026-10-19","00:00","Délégation française à l'Assemblée parlementaire de l'OTAN","Participation de Mme Natalia Pouzyreff, Présidente de la délégation française, et de Mme Michèle Tabarot au 1er séminaire du Conseil interparlementaire OTAN-Ukraine (UNIC) à Varsovie (Pologne) du 19 au 20 octobre 2026."
"CNPS","2026-09-25","15:00","Commission spéciale chargée d'examiner la proposition de loi apportant une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants et la proposition de loi organique visant à adapter l'autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales","Éventuellement, suite de l’ordre du jour du matin."
"COMPER","2026-09-22","15:30","Commission des affaires économiques","création d’une mission d’information sur l’avenir, la gestion et la gouvernance du foncier agricole ;Suite de l’examen du projet de loi, adopté par le Sénat, visant la relance et la décentralisation du logement (n° 3058) (Mme Annaïg Le Meur, rapporteure)."
"COMPER","2026-09-23","21:30","Commission des affaires économiques","éventuellement, suite de l’examen du projet de loi, adopté par le Sénat, visant la relance et la décentralisation du logement (n° 3058) (Mme Annaïg Le Meur, rapporteure)."
