"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM878803","PA227089","Valérie Létard","PO851834","GA","France-Inde","2026-02-11","","Membre"
"PM864191","PA795786","Yaël Ménaché","PO851472","GA","France-Serbie","2025-02-11","","Vice-Président"
"PM864903","PA795350","Frédéric Valletoux","PO854349","GE","Forêt et filière bois","2025-02-18","","Secrétaire"
"PM867278","PA796070","Perceval Gaillard","PO851869","GA","France-Macédoine du Nord","2025-03-19","","Membre"
"PM866546","PA335054","Marietta Karamanli","PO854333","GE","Industries du luxe","2025-03-04","","Vice-Président"
"PM862114","PA721004","Amélia Lakrafi","PO851814","GA","France-Comores","2025-01-31","","Vice-Président"
"PM864370","PA840765","Laurent Lhardit","PO854471","GE","Handicap et inclusion","2025-02-12","","Membre"
"PM863025","PA266797","Philippe Gosselin","PO851914","GA","France-Etats-Unis","2025-02-05","","Membre"
"PM857989","PA795330","Eléonore Caroit","PO851824","GA","France-République dominicaine","2025-01-23","2025-11-12","Membre"
"PM865281","PA794234","François Gernigon","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-02-18","","Vice-Président"
"PM863204","PA718838","Fabrice Brun","PO851834","GA","France-Inde","2025-02-06","","Membre"
"PM855992","PA794658","Philippe Fait","PO854471","GE","Handicap et inclusion","2025-01-14","","Membre"
"PM855379","PA774954","Anne-Laure Blin","PO854519","GE","Chrétiens d'Orient","2025-01-07","","Membre"
"PM864115","PA794138","Ségolène Amiot","PO854246","GE","VIH et Sida","2025-02-11","","Membre"
"PM855558","PA720952","Aurélien Taché","PO854391","GE","Villes et banlieues","2025-01-08","","Membre"
"PM867282","PA796070","Perceval Gaillard","PO851924","GA","France-Sénégal","2025-03-19","","Membre"
"PM854826","PA793912","Sylvain Carrière","PO854318","GE","Pauvreté, précarité, non-recours aux droits et sans-abri","2024-12-19","","Membre"
"PM856469","PA795552","Julien Odoul","PO854519","GE","Chrétiens d'Orient","2025-01-15","","Membre"
"PM865205","PA266797","Philippe Gosselin","PO851844","GA","France-République d'Autriche","2025-02-19","","Vice-Président"
"PM855737","PA793230","Angélique Ranc","PO854465","GE","Gens du voyage","2025-01-11","","Membre"
"PM857993","PA795330","Eléonore Caroit","PO851204","GA","France-Venezuela","2025-01-23","2025-11-12","Membre"
"PM871419","PA793270","Jean-François Rousset","PO854278","GE","Déserts médicaux et accès aux soins","2025-06-10","","Vice-Président"
"PM866116","PA721486","Christophe Naegelen","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2025-03-04","","Vice-Président"
"PM874586","PA842211","Béatrice Bellay","PO854328","GE","Eau et biodiversité","2025-11-04","","Membre"
"PM867027","PA841613","Marc de Fleurian","PO851749","GA","France-Liban","2025-03-15","2025-03-17","Membre"
"PM870154","PA840673","Valérie Rossi","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-05-27","","Membre"
"PM857559","PA793182","Jorys Bovet","PO854385","GE","Économie, sécurité et souveraineté numériques","2025-01-22","","Membre"
"PM860686","PA794590","Alexandre Loubet","PO851914","GA","France-Etats-Unis","2025-01-29","","Membre"
"PM855383","PA774954","Anne-Laure Blin","PO854406","GE","Enseignement privé","2025-01-07","","Membre"
"PM875497","PA795334","Benoît Larrouquis","PO851209","GA","France-Jamaïque","2025-11-24","","Membre"
"PM861597","PA794094","Mickaël Bouloux","PO851452","GA","France-Nouvelle-Zélande","2025-01-31","","Membre"
"PM867206","PA794994","Alexandre Portier","PO854343","GE","Vigne, vin et œnologie","2025-02-19","","Secrétaire"
"PM857738","PA774954","Anne-Laure Blin","PO851269","GA","France-Argentine","2025-01-23","","Membre"
"PM860865","PA2940","Dominique Voynet","PO851452","GA","France-Nouvelle-Zélande","2025-01-29","","Président"
"PM880979","PA608826","Virginie Duby-Muller","PO851497","GA","France-Colombie","2026-04-15","","Membre"
"PM855562","PA793608","Katiana Levavasseur","PO854491","GE","Ruralité","2025-01-08","","Membre"
"PM885144","PA720362","Belkhir Belhaddad","PO851934","GEVI","Groupe d'études à vocation internationale Taïwan","2026-09-08","","Membre"
"PM854830","PA817211","René Pilato","PO854439","GE","Impact des changements climatiques","2024-12-19","2025-02-11","Membre"
"PM858649","PA721932","Marie-France Lorho","PO851668","GA","France-Jordanie","2025-01-23","2025-02-10","Membre"
"PM861776","PA719032","Bertrand Bouyx","PO851537","GA","France-Ukraine","2025-02-03","","Membre"
"PM857917","PA719528","Jean-François Portarrieu","PO851381","GA","France-Laos","2025-01-23","","Membre"
"PM856473","PA795552","Julien Odoul","PO854380","GE","Cancer","2025-01-15","","Membre"
"PM855741","PA793230","Angélique Ranc","PO854184","GE","Prisons et conditions carcérales","2025-01-11","","Membre"
"PM872155","PA870010","Sébastien Martin","PO854343","GE","Vigne, vin et œnologie","2025-07-02","2025-11-12","Membre"
"PM871423","PA793632","Timothée Houssin","PO854278","GE","Déserts médicaux et accès aux soins","2025-06-10","","Vice-Président"
"PM858828","PA795176","Nicolas Metzdorf","PO851304","GA","France-Israël","2025-01-23","","Membre"
"PM861955","PA840979","Corentin Le Fur","PO851592","GA","France-Mexique","2025-02-03","","Membre"
"PM866120","PA794734","Michel Guiniot","PO854215","GE","Îles anglo-normandes","2025-03-04","","Vice-Président"
"PM863598","PA841927","Anne-Sophie Ronceret","PO854333","GE","Industries du luxe","2025-02-07","","Membre"
"PM856039","PA266808","Vincent Rolland","PO854401","GE","Arctique, Antarctique, Terres australes et antarctiques françaises et grands fonds océaniques","2025-01-14","","Membre"
"PM859739","PA720162","Philippe Bolo","PO851919","GA","France-Chili","2025-01-27","2026-04-26","Membre"
"PM862866","PA795808","Sabrina Sebaihi","PO851698","GA","France-Cuba","2025-02-05","","Vice-Président"
"PM858295","PA720354","Jean-Michel Jacques","PO851477","GA","France-Brésil","2025-01-23","","Membre"
"PM874590","PA842211","Béatrice Bellay","PO854293","GE","Langues et cultures régionales","2025-11-04","","Membre"
"PM867031","PA841613","Marc de Fleurian","PO851739","GA","France-Luxembourg","2025-03-15","2025-05-05","Membre"
"PM857563","PA793182","Jorys Bovet","PO854411","GE","Industries de défense","2025-01-22","","Membre"
"PM860690","PA794590","Alexandre Loubet","PO851819","GA","France-Roumanie","2025-01-29","","Membre"
"PM860077","PA795778","Jean-Philippe Tanguy","PO851914","GA","France-Etats-Unis","2025-01-28","","Membre"
"PM863777","PA795228","Nadège Abomangoli","PO851249","GA","France-Arabie Saoudite","2025-02-10","","Membre"
"PM856218","PA842271","Emmanuel Maurel","PO854476","GE","Cinéma et production audiovisuelle","2025-01-15","","Membre"
"PM859918","PA719024","Christophe Blanchet","PO854525","GE","Chasse et pêche","2025-01-28","","Co-Président"
"PM858474","PA841981","Catherine Rimbert","PO851467","GA","France-Pologne","2025-01-23","","Membre"
"PM867210","PA794114","Emmanuel Mandon","PO854391","GE","Villes et banlieues","2025-03-18","","Membre"
"PM857742","PA774954","Anne-Laure Blin","PO851339","GA","France-Vietnam","2025-01-23","","Membre"
"PM864688","PA335612","Jean-Paul Lecoq","PO854454","GE","Aéronautique et espace","2025-02-11","","Vice-Président"
"PM880983","PA608826","Virginie Duby-Muller","PO851859","GA","France-Suède","2026-04-15","","Membre"
"PM860256","PA793330","Bryan Masson","PO851945","GEVI","Groupe d'études à vocation internationale sur la Libye","2025-01-28","2026-04-01","Président"
"PM863956","PA795144","Antoine Armand","PO851229","GA","France-Hongrie","2025-02-11","2026-04-27","Membre"
"PM859385","PA795966","Stéphane Rambaud","PO851904","GA","France-Emirats Arabes Unis","2025-01-27","","Membre"
"PM858653","PA721932","Marie-France Lorho","PO851472","GA","France-Serbie","2025-01-23","2025-02-10","Membre"
"PM861780","PA721024","Anne Genetet","PO851703","GA","France-Afghanistan","2025-02-03","","Membre"
"PM857921","PA719528","Jean-François Portarrieu","PO851759","GA","France-Bolivie","2025-01-23","","Membre"
"PM864867","PA642725","Eric Liégeon","PO851633","GA","France-Maurice","2025-02-18","","Vice-Président"
"PM860435","PA793330","Bryan Masson","PO854293","GE","Langues et cultures régionales","2025-01-28","2026-04-01","Membre"
"PM862078","PA840979","Corentin Le Fur","PO854385","GE","Économie, sécurité et souveraineté numériques","2025-02-03","","Membre"
"PM858832","PA795176","Nicolas Metzdorf","PO851452","GA","France-Nouvelle-Zélande","2025-01-23","","Membre"
"PM865778","PA607395","Stéphane Travert","PO854240","GE","Commerce, artisanat et métiers d'art","2025-02-25","","Membre"
"PM858219","PA606573","Fanny Dombre Coste","PO851612","GA","France-Maroc","2025-01-23","","Membre"
"PM860614","PA309643","Véronique Besse","PO851914","GA","France-Etats-Unis","2025-01-29","","Membre"
"PM856043","PA266808","Vincent Rolland","PO854519","GE","Chrétiens d'Orient","2025-01-14","","Membre"
"PM869211","PA793290","Gisèle Lelouis","PO851386","GA","France-Royaume des Pays-Bas","2025-05-06","","Membre"
"PM859743","PA720162","Philippe Bolo","PO851884","GA","France-Norvège","2025-01-27","2026-04-26","Membre"
"PM862870","PA795588","Farida Amrani","PO851612","GA","France-Maroc","2025-01-27","","Vice-Président"
"PM866689","PA719550","Liliana Tanguy","PO851869","GA","France-Macédoine du Nord","2025-03-06","","Vice-Président"
"PM862257","PA840685","Vincent Trébuchet","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-02-04","","Membre"
"PM865957","PA795636","Benjamin Lucas-Lundy","PO851904","GA","France-Emirats Arabes Unis","2025-03-03","","Membre"
"PM861525","PA796070","Perceval Gaillard","PO851457","GA","France-Ethiopie","2025-01-31","","Membre"
"PM860081","PA795778","Jean-Philippe Tanguy","PO851889","GA","France-Bangladesh","2025-01-28","","Membre"
"PM863781","PA795228","Nadège Abomangoli","PO851804","GA","France-Australie","2025-02-10","","Membre"
"PM856222","PA794770","Michèle Martinez","PO854364","GE","Thermalisme","2025-01-15","","Membre"
"PM863168","PA721158","Pieyre-Alexandre Anglade","PO851784","GA","France-Grèce","2025-02-06","","Membre"
"PM859922","PA720256","Géraldine Bannier","PO854444","GE","Cheval","2025-01-28","","Président"
"PM866868","PA643175","Stella Dupont","PO851924","GA","France-Sénégal","2025-03-06","","Secrétaire"
"PM859309","PA794886","Sophie Blanc","PO851663","GA","France-Iran","2025-01-25","2025-02-11","Membre"
"PM862436","PA722374","Cyrille Isaac-Sibille","PO851452","GA","France-Nouvelle-Zélande","2025-02-04","","Membre"
"PM864692","PA793342","Alexandra Martin (Alpes-Maritimes)","PO854454","GE","Aéronautique et espace","2025-02-11","","Secrétaire"
"PM861704","PA720952","Aurélien Taché","PO851904","GA","France-Emirats Arabes Unis","2025-01-31","","Membre"
"PM860260","PA642847","Thibault Bazin","PO851643","GA","France-Burundi","2025-01-28","","Membre"
"PM864079","PA721932","Marie-France Lorho","PO851567","GA","France-Finlande","2025-02-11","","Membre"
"PM863960","PA793262","Laurent Alexandre","PO851497","GA","France-Colombie","2025-02-11","","Membre"
"PM863347","PA720992","Jiovanny William","PO851284","GA","France-Côte d'Ivoire","2025-02-06","","Membre"
"PM876515","PA793928","Edwige Diaz","PO851462","GA","France-Lituanie","2025-12-08","","Membre"
"PM858044","PA840967","René Lioret","PO851914","GA","France-Etats-Unis","2025-01-23","2025-03-20","Membre"
"PM882729","PA795402","Nathalie Coggia","PO854328","GE","Eau et biodiversité","2026-06-03","","Membre"
"PM864871","PA840979","Corentin Le Fur","PO851884","GA","France-Norvège","2025-02-18","","Vice-Président"
"PM881285","PA721612","Carole Guillerm","PO854444","GE","Cheval","2026-04-28","","Membre"
"PM863526","PA342415","Marie-Noëlle Battistel","PO851502","GA","France-Pérou","2025-02-07","","Membre"
"PM879682","PA794094","Mickaël Bouloux","PO851602","GA","France-République démocratique du Congo","2026-03-26","","Membre"
"PM862082","PA840979","Corentin Le Fur","PO854349","GE","Forêt et filière bois","2025-02-03","","Membre"
"PM865782","PA794118","Antoine Vermorel","PO854508","GE","Vie associative, éducation populaire et bénévolat","2025-02-26","","Membre"
"PM879069","PA795270","Marie-Agnès Poussier-Winsback","PO851617","GA","France-Kenya Ouganda Tanzanie","2026-02-21","","Membre"
"PM858223","PA720644","Jérôme Nury","PO854525","GE","Chasse et pêche","2025-01-23","2026-04-14","Membre"
"PM871996","PA794570","Alexandre Sabatou","PO851582","GA","France-Philippines","2025-07-01","2025-09-07","Membre"
"PM860005","PA793314","Alexandra Masson","PO851376","GA","France-Italie","2025-01-28","2026-04-21","Membre"
"PM854969","PA841107","Jacques Oberti","PO854497","GE","Réseaux sociaux","2024-12-21","","Membre"
"PM866693","PA841563","Claire Marais-Beuil","PO851749","GA","France-Liban","2025-03-11","","Secrétaire"
"PM859134","PA795786","Yaël Ménaché","PO851612","GA","France-Maroc","2025-01-24","","Membre"
"PM862261","PA840685","Vincent Trébuchet","PO851633","GA","France-Maurice","2025-02-04","","Membre"
"PM865961","PA795636","Benjamin Lucas-Lundy","PO851914","GA","France-Etats-Unis","2025-03-03","","Membre"
"PM858402","PA1327","Nicolas Forissier","PO851617","GA","France-Kenya Ouganda Tanzanie","2025-01-23","2025-11-12","Membre"
"PM865348","PA841613","Marc de Fleurian","PO854572","GE","Maladie de Lyme","2025-02-19","2025-03-14","Membre"
"PM864616","PA719640","Sophie Mette","PO851542","GA","France-Monaco","2025-02-14","","Vice-Président"
"PM863172","PA721158","Pieyre-Alexandre Anglade","PO851259","GA","France-Lettonie","2025-02-06","","Membre"
"PM866872","PA794022","Jérémie Iordanoff","PO851355","GA","France-Amérique centrale","2025-03-13","","Vice-Président"
"PM859313","PA794886","Sophie Blanc","PO851633","GA","France-Maurice","2025-01-25","","Membre"
"PM862440","PA722374","Cyrille Isaac-Sibille","PO851899","GA","France-Thaïlande","2025-02-04","","Membre"
"PM865527","PA330008","Xavier Breton","PO851719","GA","France-Soudan du Sud","2025-02-20","","Vice-Président"
"PM864083","PA721932","Marie-France Lorho","PO854476","GE","Cinéma et production audiovisuelle","2025-02-11","","Membre"
"PM863351","PA795950","David Amiel","PO851244","GA","France-Géorgie","2025-02-06","2025-11-12","Vice-Président"
"PM862006","PA840979","Corentin Le Fur","PO851648","GA","France-Turquie","2025-02-03","","Membre"
"PM865706","PA841613","Marc de Fleurian","PO854343","GE","Vigne, vin et œnologie","2025-02-24","2025-03-14","Membre"
"PM854794","PA841657","Anaïs Belouassa-Cherifi","PO854471","GE","Handicap et inclusion","2024-12-19","","Membre"
"PM863530","PA719286","Paul-André Colombani","PO851612","GA","France-Maroc","2025-02-07","","Membre"
"PM867528","PA719640","Sophie Mette","PO851754","GA","France-Chypre","2025-03-24","","Secrétaire"
"PM866084","PA605694","Olivier Falorni","PO854354","GE","Condition et bien-être des animaux","2025-03-04","2026-04-26","Vice-Président"
"PM865352","PA841613","Marc de Fleurian","PO854514","GE","Jeu vidéo","2025-02-19","2025-03-14","Membre"
"PM864620","PA720162","Philippe Bolo","PO851502","GA","France-Pérou","2025-02-14","2026-04-26","Vice-Président"
"PM868439","PA793592","Géraldine Grangier","PO854333","GE","Industries du luxe","2025-04-08","","Membre"
"PM864007","PA841769","Éric Michoux","PO854293","GE","Langues et cultures régionales","2025-02-11","","Membre"
"PM856795","PA718838","Fabrice Brun","PO854380","GE","Cancer","2025-01-17","","Membre"
"PM865531","PA642847","Thibault Bazin","PO851678","GA","France-Togo","2025-02-20","","Membre"
"PM881213","PA796078","Estelle Youssouffa","PO854333","GE","Industries du luxe","2026-04-27","","Membre"
"PM868618","PA794954","Emeric Salmon","PO854540","GE","Sécurité privée","2025-04-10","","Membre"
"PM862010","PA840979","Corentin Le Fur","PO851204","GA","France-Venezuela","2025-02-03","","Membre"
"PM865710","PA841613","Marc de Fleurian","PO851945","GEVI","Groupe d'études à vocation internationale sur la Libye","2025-02-24","2025-05-26","Membre"
"PM855629","PA793844","Pascale Bordes","PO854519","GE","Chrétiens d'Orient","2025-01-08","2025-02-14","Membre"
"PM871924","PA794570","Alexandre Sabatou","PO851497","GA","France-Colombie","2025-07-01","2025-09-07","Membre"
"PM857885","PA719528","Jean-François Portarrieu","PO851592","GA","France-Mexique","2025-01-23","","Membre"
"PM860399","PA794562","Philippe Ballard","PO851366","GA","France-Cambodge","2025-01-28","","Membre"
"PM866008","PA795636","Benjamin Lucas-Lundy","PO851537","GA","France-Ukraine","2025-03-03","","Membre"
"PM858796","PA794330","Anthony Brosse","PO851899","GA","France-Thaïlande","2025-01-23","","Membre"
"PM855808","PA719118","François Cormier-Bouligeon","PO854508","GE","Vie associative, éducation populaire et bénévolat","2025-01-13","","Membre"
"PM863100","PA721110","Nicole Sanquer","PO851350","GA","France-Japon","2025-02-05","","Membre"
"PM866800","PA841091","Arnaud Simion","PO854273","GE","Discriminations et LGBTQI-phobies","2025-03-11","","Vice-Président"
"PM860578","PA721486","Christophe Naegelen","PO851955","GEVI","Groupe d’études à vocation internationale Corée du Nord","2025-01-29","","Membre"
"PM864011","PA841769","Éric Michoux","PO854184","GE","Prisons et conditions carcérales","2025-02-11","","Membre"
"PM858975","PA793382","Emmanuel Taché","PO851376","GA","France-Italie","2025-01-24","","Membre"
"PM861489","PA720370","Ludovic Mendes","PO851714","GA","France-Albanie","2025-01-30","","Membre"
"PM860757","PA795270","Marie-Agnès Poussier-Winsback","PO851547","GA","France-Afrique australe","2025-01-29","","Président"
"PM859886","PA793270","Jean-François Rousset","PO854449","GE","Alzheimer et maladies neurodégénératives","2025-01-28","","Co-Président"
"PM861668","PA722134","Jean-Marie Fiévet","PO851819","GA","France-Roumanie","2025-01-31","","Membre"
"PM857809","PA720342","Nicole Le Peih","PO851344","GA","France-Afrique du Sud","2025-01-23","","Membre"
"PM879001","PA795100","Éric Martineau","PO854157","GE","Filière brassicole","2026-02-18","","Co-Président"
"PM856365","PA794570","Alexandre Sabatou","PO854385","GE","Économie, sécurité et souveraineté numériques","2025-01-15","","Membre"
"PM868801","PA721486","Christophe Naegelen","PO854364","GE","Thermalisme","2025-04-18","","Membre"
"PM854901","PA840903","Paul Christophle","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2024-12-20","","Membre"
"PM861847","PA793416","Freddy Sertin","PO851254","GA","France-Algérie","2025-01-31","2025-11-12","Membre"
"PM857276","PA841681","Thierry Sother","PO854343","GE","Vigne, vin et œnologie","2025-01-22","","Membre"
"PM855812","PA793432","Franck Allisio","PO854411","GE","Industries de défense","2025-01-13","","Membre"
"PM862758","PA841777","Arnaud Sanvert","PO854514","GE","Jeu vidéo","2025-02-05","2025-03-07","Membre"
"PM858187","PA341981","Marie Récalde","PO851274","GA","France-Bénin","2025-01-23","","Membre"
"PM860582","PA722150","Sacha Houlié","PO851547","GA","France-Afrique australe","2025-01-29","","Membre"
"PM877569","PA795864","Pierre Cazeneuve","PO854525","GE","Chasse et pêche","2026-01-14","","Membre"
"PM863669","PA795820","Marcellin Nadeau","PO851447","GA","France-Haïti","2025-02-10","","Vice-Président"
"PM859098","PA721816","Ian Boucard","PO851703","GA","France-Afghanistan","2025-01-24","","Membre"
"PM862937","PA721004","Amélia Lakrafi","PO851249","GA","France-Arabie Saoudite","2025-02-05","","Vice-Président"
"PM858366","PA1327","Nicolas Forissier","PO851487","GA","France-Cameroun","2025-01-23","2025-11-12","Membre"
"PM861493","PA720370","Ludovic Mendes","PO851442","GA","France-Canada","2025-01-30","","Membre"
"PM857634","PA695512","Guillaume Lepers","PO854423","GE","Polices municipales","2025-01-22","2026-04-20","Membre"
"PM860761","PA795278","Béatrice Bellamy","PO851597","GA","France-Monténégro","2025-01-29","2026-05-23","Membre"
"PM874048","PA841381","Sophie Pantel","PO851784","GA","France-Grèce","2025-10-21","","Membre"
"PM856190","PA342196","Claudia Rouaux","PO854359","GE","Gastronomie, métiers de bouche et arts de la table","2025-01-15","2026-03-31","Membre"
"PM877748","PA793532","Murielle Lepvraud","PO851239","GA","France-Islande","2026-01-20","","Membre"
"PM860148","PA721314","Raphaël Schellenberger","PO851552","GA","France-Arménie","2025-01-28","","Membre"
"PM859890","PA794954","Emeric Salmon","PO854338","GE","Enjeux frontaliers et transfrontaliers","2025-01-28","","Président"
"PM856902","PA840997","Benoît Biteau","PO854328","GE","Eau et biodiversité","2025-01-17","","Membre"
"PM863848","PA795228","Nadège Abomangoli","PO851512","GA","France-Mozambique","2025-02-10","","Membre"
"PM859277","PA794886","Sophie Blanc","PO851284","GA","France-Côte d'Ivoire","2025-01-25","2025-02-11","Membre"
"PM858545","PA721916","Natalia Pouzyreff","PO851289","GA","France-Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","2025-01-23","","Membre"
"PM861672","PA795950","David Amiel","PO851279","GA","France-Slovaquie","2025-01-31","2025-11-12","Président"
"PM861059","PA841495","Maxime Amblard","PO851834","GA","France-Inde","2025-01-30","","Membre"
"PM857813","PA841621","Auguste Evrard","PO851386","GA","France-Royaume des Pays-Bas","2025-01-23","","Membre"
"PM864759","PA793736","Hadrien Clouet","PO854246","GE","VIH et Sida","2025-02-17","","Membre"
"PM859456","PA841893","Céline Thiébault-Martinez","PO851577","GA","France-Congo","2025-01-27","","Membre"
"PM855024","PA335054","Marietta Karamanli","PO854423","GE","Polices municipales","2024-12-23","","Membre"
"PM858724","PA840235","Moerani Frébault","PO851914","GA","France-Etats-Unis","2025-01-23","","Membre"
"PM861851","PA795176","Nicolas Metzdorf","PO851552","GA","France-Arménie","2025-02-03","","Membre"
"PM875138","PA794894","Anaïs Sabatini","PO854251","GE","Autisme","2025-11-17","","Membre"
"PM857280","PA840171","Emmanuel Grégoire","PO854195","GE","Antisémitisme","2025-01-22","2026-04-09","Membre"
"PM878838","PA794130","Andy Kerbrat","PO854200","GE","Conditions d’accueil des migrants et mineurs non accompagnés","2026-02-12","","Membre"
"PM864938","PA719032","Bertrand Bouyx","PO851432","GA","France-Irlande","2025-02-18","","Vice-Président"
"PM863494","PA793624","Philippe Brun","PO851284","GA","France-Côte d'Ivoire","2025-02-06","","Vice-Président"
"PM859635","PA840983","Bartolomé Lenoir","PO854434","GE","Élevage et pastoralisme","2025-01-27","","Membre"
"PM862762","PA841067","Alexandre Allegret-Pilot","PO854578","GE","Racisme et discriminations raciales ou religieuses","2025-02-05","","Membre"
"PM858191","PA793246","Frédéric Falcon","PO851724","GA","France-Espagne","2025-01-23","","Membre"
"PM855203","PA267200","Sébastien Huyghe","PO854343","GE","Vigne, vin et œnologie","2024-12-27","","Membre"
"PM862149","PA840979","Corentin Le Fur","PO851960","GEVI","Groupe d'études à vocation internationale sur les Iles du Pacifique","2025-02-03","","Membre"
"PM858903","PA719512","Corinne Vignon","PO851355","GA","France-Amérique centrale","2025-01-24","","Membre"
"PM865849","PA795176","Nicolas Metzdorf","PO854525","GE","Chasse et pêche","2025-03-03","","Secrétaire"
"PM861417","PA840657","Sophie Ricourt Vaginay","PO851592","GA","France-Mexique","2025-01-30","","Membre"
"PM863673","PA795998","Émeline K/Bidi","PO851633","GA","France-Maurice","2025-02-10","","Vice-Président"
"PM859814","PA267794","Michèle Tabarot","PO851724","GA","France-Espagne","2025-01-28","","Membre"
"PM862941","PA793624","Philippe Brun","PO851334","GA","France-Gabon","2025-02-05","","Membre"
"PM858370","PA1327","Nicolas Forissier","PO851794","GA","France-Chine","2025-01-23","2025-11-12","Membre"
"PM862328","PA793532","Murielle Lepvraud","PO854328","GE","Eau et biodiversité","2025-02-04","","Membre"
"PM874052","PA841381","Sophie Pantel","PO851884","GA","France-Norvège","2025-10-21","","Membre"
"PM864584","PA330008","Xavier Breton","PO854519","GE","Chrétiens d'Orient","2025-02-14","","Membre"
"PM857025","PA841621","Auguste Evrard","PO854205","GE","Insertion professionnelle des jeunes","2025-01-20","","Membre"
"PM860152","PA721314","Raphaël Schellenberger","PO851527","GA","France-Bruneï Malaisie","2025-01-28","","Membre"
"PM863852","PA795228","Nadège Abomangoli","PO851884","GA","France-Norvège","2025-02-10","","Membre"
"PM859281","PA794886","Sophie Blanc","PO851744","GA","France-Andorre","2025-01-25","","Membre"
"PM863239","PA841339","Jean-Michel Brard","PO854308","GE","Littoral","2025-02-06","","Membre"
"PM865495","PA793664","Marie Pochon","PO851779","GA","France-Egypte","2025-02-20","","Membre"
"PM862507","PA722252","Marie-Pierre Rixain","PO851724","GA","France-Espagne","2025-02-04","","Membre"
"PM861063","PA643175","Stella Dupont","PO851442","GA","France-Canada","2025-01-30","","Membre"
"PM874231","PA794094","Mickaël Bouloux","PO851854","GA","France-Soudan","2025-10-25","","Membre"
"PM864763","PA341981","Marie Récalde","PO851884","GA","France-Norvège","2025-02-17","","Membre"
"PM860331","PA721896","Elsa Faucillon","PO851254","GA","France-Algérie","2025-01-28","","Membre"
"PM859460","PA721004","Amélia Lakrafi","PO851633","GA","France-Maurice","2025-01-27","","Membre"
"PM870977","PA794118","Antoine Vermorel","PO854343","GE","Vigne, vin et œnologie","2025-06-10","","Membre"
"PM863418","PA643157","Philippe Naillet","PO851834","GA","France-Inde","2025-02-06","","Vice-Président"
"PM875142","PA794894","Anaïs Sabatini","PO854157","GE","Filière brassicole","2025-11-17","","Membre"
"PM858115","PA794906","Gabriel Amard","PO851542","GA","France-Monaco","2025-01-23","","Membre"
"PM861242","PA796106","Édouard Bénard","PO851794","GA","France-Chine","2025-01-30","","Membre"
"PM864329","PA719472","Jean-René Cazeneuve","PO851339","GA","France-Vietnam","2025-02-12","","Membre"
"PM859026","PA794530","Matthieu Marchio","PO851592","GA","France-Mexique","2025-01-24","","Membre"
"PM862153","PA795962","Joséphine Missoffe","PO854195","GE","Antisémitisme","2025-02-03","","Membre"
"PM865853","PA718884","Valérie Bazin-Malgras","PO854525","GE","Chasse et pêche","2025-03-03","","Secrétaire"
"PM861421","PA840657","Sophie Ricourt Vaginay","PO851844","GA","France-République d'Autriche","2025-01-30","","Membre"
"PM878408","PA606545","Jean-Louis Roumégas","PO851612","GA","France-Maroc","2026-02-04","","Membre"
"PM864508","PA840721","Marc Chavent","PO851749","GA","France-Liban","2025-02-13","","Vice-Président"
"PM863064","PA642868","Paul Christophe","PO851350","GA","France-Japon","2025-02-05","2026-04-06","Membre"
"PM866764","PA842271","Emmanuel Maurel","PO851749","GA","France-Liban","2025-03-11","","Vice-Président"
"PM862332","PA718838","Fabrice Brun","PO854572","GE","Maladie de Lyme","2025-02-04","","Membre"
"PM875500","PA795334","Benoît Larrouquis","PO856876","GA","France-Caraïbes","2025-11-24","","Membre"
"PM861600","PA841223","Tristan Lahais","PO851658","GA","France-Danemark","2025-01-31","","Membre"
"PM872978","PA793796","David Taupiac","PO851794","GA","France-Chine","2025-09-18","","Membre"
"PM867675","PA793872","Nathalie Oziol","PO851259","GA","France-Lettonie","2025-03-26","","Membre"
"PM866943","PA841613","Marc de Fleurian","PO854152","GE","Économie sociale et solidaire et responsabilité sociétale des entreprises","2025-03-15","2025-03-17","Membre"
"PM862511","PA722252","Marie-Pierre Rixain","PO851376","GA","France-Italie","2025-02-04","","Membre"
"PM864154","PA794114","Emmanuel Mandon","PO851254","GA","France-Algérie","2025-02-11","","Vice-Président"
"PM863422","PA607553","Dominique Potier","PO851304","GA","France-Israël","2025-02-06","","Vice-Président"
"PM866509","PA794938","Idir Boumertit","PO851834","GA","France-Inde","2025-03-07","","Membre"
"PM881360","PA841801","Danièle Carteron","PO851422","GA","France-Kazakhstan","2026-04-30","","Président"
"PM855597","PA793134","Jérôme Buisson","PO854525","GE","Chasse et pêche","2025-01-08","","Membre"
"PM868765","PA794954","Emeric Salmon","PO854364","GE","Thermalisme","2025-04-16","","Membre"
"PM871892","PA794570","Alexandre Sabatou","PO851714","GA","France-Albanie","2025-07-01","2025-09-07","Membre"
"PM864333","PA840143","Guillaume Florquin","PO851214","GA","France-Estonie","2025-02-12","","Membre"
