"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM862148","PA840979","Corentin Le Fur","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-02-03","","Membre"
"PM858902","PA267780","Agnès Firmin Le Bodo","PO851673","GA","France-Allemagne","2025-01-23","","Membre"
"PM865848","PA841067","Alexandre Allegret-Pilot","PO854525","GE","Chasse et pêche","2025-03-03","","Vice-Président"
"PM861416","PA840657","Sophie Ricourt Vaginay","PO851376","GA","France-Italie","2025-01-30","","Membre"
"PM856113","PA720022","Michel Lauzzana","PO854491","GE","Ruralité","2025-01-14","","Membre"
"PM863059","PA642868","Paul Christophe","PO851269","GA","France-Argentine","2025-02-05","2026-04-06","Membre"
"PM859813","PA267794","Michèle Tabarot","PO851794","GA","France-Chine","2025-01-28","","Membre"
"PM862940","PA793624","Philippe Brun","PO851284","GA","France-Côte d'Ivoire","2025-02-05","","Membre"
"PM866759","PA793134","Jérôme Buisson","PO854283","GE","Économie fluviale et maritime et filière halieutique","2025-03-05","","Vice-Président"
"PM862327","PA793532","Murielle Lepvraud","PO854561","GE","Santé mentale","2025-02-04","","Membre"
"PM874051","PA841381","Sophie Pantel","PO851683","GA","France-Malte","2025-10-21","","Membre"
"PM864583","PA330008","Xavier Breton","PO854525","GE","Chasse et pêche","2025-02-14","","Membre"
"PM857024","PA841981","Catherine Rimbert","PO854369","GE","Spectacle vivant","2025-01-20","","Membre"
"PM860151","PA795228","Nadège Abomangoli","PO851764","GA","France-Singapour","2025-01-28","","Membre"
"PM863851","PA795228","Nadège Abomangoli","PO851532","GA","France-Nigéria","2025-02-10","","Membre"
"PM859280","PA794886","Sophie Blanc","PO851344","GA","France-Afrique du Sud","2025-01-25","","Membre"
"PM863238","PA841339","Jean-Michel Brard","PO854465","GE","Gens du voyage","2025-02-06","","Membre"
"PM866938","PA841613","Marc de Fleurian","PO854429","GE","Francophonie","2025-03-15","2025-03-17","Membre"
"PM865494","PA793664","Marie Pochon","PO851703","GA","France-Afghanistan","2025-02-20","","Membre"
"PM862506","PA722252","Marie-Pierre Rixain","PO851658","GA","France-Danemark","2025-02-04","","Membre"
"PM861062","PA643175","Stella Dupont","PO851673","GA","France-Allemagne","2025-01-30","","Membre"
"PM874230","PA794094","Mickaël Bouloux","PO851401","GA","France-Tchad","2025-10-25","","Membre"
"PM864762","PA341981","Marie Récalde","PO851774","GA","France-Népal","2025-02-17","","Vice-Président"
"PM860330","PA720908","Naïma Moutchou","PO851663","GA","France-Iran","2025-01-28","2025-11-12","Membre"
"PM864149","PA720560","Perrine Goulet","PO851965","GEVI","Groupe d'études à vocation internationale France-Syrie","2025-02-11","","Vice-Président"
"PM875141","PA794894","Anaïs Sabatini","PO854434","GE","Élevage et pastoralisme","2025-11-17","","Membre"
"PM858114","PA794906","Gabriel Amard","PO851879","GA","France-Mauritanie","2025-01-23","","Membre"
"PM861241","PA796106","Édouard Bénard","PO854391","GE","Villes et banlieues","2025-01-30","","Membre"
"PM864941","PA793398","Jérémie Patrier-Leitus","PO851304","GA","France-Israël","2025-02-18","","Vice-Président"
"PM864328","PA719472","Jean-René Cazeneuve","PO851537","GA","France-Ukraine","2025-02-12","","Membre"
"PM859025","PA794530","Matthieu Marchio","PO851239","GA","France-Islande","2025-01-24","","Membre"
"PM862152","PA840857","Nadine Lechon","PO854168","GE","Tourisme et patrimoine","2025-02-03","","Membre"
"PM865852","PA841339","Jean-Michel Brard","PO854525","GE","Chasse et pêche","2025-03-03","","Secrétaire"
"PM865239","PA642868","Paul Christophe","PO851934","GEVI","Groupe d'études à vocation internationale Taïwan","2025-02-19","2026-04-06","Vice-Président"
"PM864507","PA841067","Alexandre Allegret-Pilot","PO851617","GA","France-Kenya Ouganda Tanzanie","2025-02-13","","Vice-Président"
"PM863063","PA642868","Paul Christophe","PO851239","GA","France-Islande","2025-02-05","2026-04-06","Membre"
"PM866763","PA793904","Aurélien Lopez-Liguori","PO854283","GE","Économie fluviale et maritime et filière halieutique","2025-03-05","2026-04-25","Secrétaire"
"PM862331","PA267780","Agnès Firmin Le Bodo","PO851355","GA","France-Amérique centrale","2025-02-04","2025-02-18","Membre"
"PM867674","PA793872","Nathalie Oziol","PO851239","GA","France-Islande","2025-03-26","","Membre"
"PM863242","PA841339","Jean-Michel Brard","PO854168","GE","Tourisme et patrimoine","2025-02-06","","Membre"
"PM866942","PA841613","Marc de Fleurian","PO854434","GE","Élevage et pastoralisme","2025-03-15","2025-03-17","Membre"
"PM862510","PA722252","Marie-Pierre Rixain","PO851239","GA","France-Islande","2025-02-04","","Membre"
"PM866329","PA793322","Christelle D'Intorni","PO851914","GA","France-Etats-Unis","2025-03-06","","Membre"
"PM864153","PA722374","Cyrille Isaac-Sibille","PO851344","GA","France-Afrique du Sud","2025-02-11","","Vice-Président"
"PM863421","PA342196","Claudia Rouaux","PO851432","GA","France-Irlande","2025-02-06","","Vice-Président"
"PM860899","PA795100","Éric Martineau","PO851784","GA","France-Grèce","2025-01-29","","Membre"
"PM866508","PA720138","Laetitia Saint-Paul","PO851366","GA","France-Cambodge","2025-03-06","","Membre"
"PM855596","PA793134","Jérôme Buisson","PO854195","GE","Antisémitisme","2025-01-08","","Membre"
"PM868764","PA793174","Yannick Monnet","PO851698","GA","France-Cuba","2025-04-16","","Vice-Président"
